model_name,outer_fold,train_city_count,test_city_count,train_row_count,test_row_count,test_positive_count,test_prevalence,pr_auc,recall_at_top_10pct
climate_only_baseline,0,24,6,120000,30000,2925,0.0975,0.09715846153846153,0.09675213675213676
climate_only_baseline,1,24,6,120000,30000,2906,0.09686666666666667,0.09683335627437485,0.10839642119752237
climate_only_baseline,2,24,6,120000,30000,3068,0.10226666666666667,0.10151001738374621,0.10071707953063885
climate_only_baseline,3,24,6,120000,30000,3041,0.10136666666666666,0.10036031458949907,0.10522854324235449
climate_only_baseline,4,24,6,120000,30000,3009,0.1003,0.0998697573944832,0.10701229644400133
global_mean_baseline,0,24,6,120000,30000,2925,0.0975,0.0975,0.10324786324786325
global_mean_baseline,1,24,6,120000,30000,2906,0.09686666666666667,0.09686666666666667,0.10839642119752237
global_mean_baseline,2,24,6,120000,30000,3068,0.10226666666666667,0.10226666666666667,0.10071707953063885
global_mean_baseline,3,24,6,120000,30000,3041,0.10136666666666666,0.10136666666666666,0.09996711608023677
global_mean_baseline,4,24,6,120000,30000,3009,0.1003,0.1003,0.09205716184778996
impervious_only_baseline,0,24,6,120000,30000,2925,0.0975,0.12930166895009462,0.1623931623931624
impervious_only_baseline,1,24,6,120000,30000,2906,0.09686666666666667,0.15286884562372396,0.22505161734342738
impervious_only_baseline,2,24,6,120000,30000,3068,0.10226666666666667,0.15441093778378093,0.211864406779661
impervious_only_baseline,3,24,6,120000,30000,3041,0.10136666666666666,0.12327539561512071,0.12561657349556066
impervious_only_baseline,4,24,6,120000,30000,3009,0.1003,0.12715490076268943,0.16483881688268529
land_cover_only_baseline,0,24,6,120000,30000,2925,0.0975,0.13848798686261043,0.18256410256410258
land_cover_only_baseline,1,24,6,120000,30000,2906,0.09686666666666667,0.14093176674464267,0.19580178940123882
land_cover_only_baseline,2,24,6,120000,30000,3068,0.10226666666666667,0.14489206888328945,0.1926336375488918
land_cover_only_baseline,3,24,6,120000,30000,3041,0.10136666666666666,0.12718385616701833,0.1423873725748109
land_cover_only_baseline,4,24,6,120000,30000,3009,0.1003,0.13030101522767035,0.15785975407111996
