city_id,city_name,sampling_strategy,full_row_count,full_positive_count,sampled_row_count,sampled_positive_count,full_positive_rate,sampled_positive_rate
1,Phoenix,target_rate_stratified,3199440,319949,5000,500,0.10000156277348536,0.1
2,Tucson,target_rate_stratified,1779906,177991,5000,500,0.10000022473096894,0.1
3,Las Vegas,target_rate_stratified,1718669,171867,5000,500,0.10000005818456026,0.1
4,Albuquerque,target_rate_stratified,1336755,133676,5000,500,0.10000037404011955,0.1
5,El Paso,target_rate_stratified,738527,73853,5000,500,0.10000040621399083,0.1
6,Denver,target_rate_stratified,1859393,185943,5000,500,0.10000198989670285,0.1
7,Salt Lake City,target_rate_stratified,863557,86356,5000,500,0.10000034740034532,0.1
8,Fresno,target_rate_stratified,459104,45912,5000,500,0.1000034850491392,0.1
9,Bakersfield,target_rate_stratified,382964,38297,5000,500,0.10000156672689861,0.1
10,Reno,target_rate_stratified,475828,47583,5000,500,0.10000042031994755,0.1
11,Houston,target_rate_stratified,5054661,505468,5000,500,0.10000037589068782,0.1
12,Columbia,target_rate_stratified,1055916,105626,5000,500,0.10003257834903534,0.1
13,Richmond,target_rate_stratified,1481846,148185,5000,500,0.10000026993358284,0.1
14,New Orleans,target_rate_stratified,700063,70008,5000,500,0.10000242835287682,0.1
15,Tampa,target_rate_stratified,2847118,284712,5000,500,0.1000000702464738,0.1
16,Miami,target_rate_stratified,3635068,363510,5000,500,0.10000088031365575,0.1
17,Jacksonville,target_rate_stratified,1664542,166458,5000,500,0.100002282910254,0.1
18,Atlanta,target_rate_stratified,7081699,708171,5000,500,0.10000015532995683,0.1
19,Charlotte,target_rate_stratified,1896996,189703,5000,500,0.10000179230741657,0.1
20,Nashville,target_rate_stratified,1680248,168025,5000,500,0.10000011903004795,0.1
21,Seattle,target_rate_stratified,2831875,283189,5000,500,0.10000052968439638,0.1
22,Portland,target_rate_stratified,1496116,149618,5000,500,0.10000427774316965,0.1
23,San Francisco,target_rate_stratified,1466276,146628,5000,500,0.10000027279993672,0.1
24,San Jose,target_rate_stratified,817627,81764,5000,500,0.10000158996706322,0.1
25,Los Angeles,target_rate_stratified,4736063,473607,5000,500,0.10000014780208794,0.1
26,San Diego,target_rate_stratified,1948679,194869,5000,500,0.10000056448496648,0.1
27,Chicago,target_rate_stratified,6722963,672306,5000,500,0.10000144281621065,0.1
28,Minneapolis,target_rate_stratified,2946162,294619,5000,500,0.10000095038901459,0.1
29,Detroit,target_rate_stratified,3702849,370291,5000,500,0.10000164738016593,0.1
30,Boston,target_rate_stratified,4813984,481404,5000,500,0.10000116327765111,0.1
