outer_fold,feature_name,pr_auc_drop_mean,pr_auc_drop_std,importance_rank,baseline_pr_auc
0,ndvi_median_may_aug,0.059273456717036675,0.0019692239465043866,1,0.17728798631179152
0,climate_group,0.04512335011255092,0.0005406909189349385,2,0.17728798631179152
0,impervious_pct,0.04482269701135414,0.0016127521817228953,3,0.17728798631179152
0,elevation_m,0.017551115039227336,0.0015936390777754675,4,0.17728798631179152
0,land_cover_class,0.013033171723191128,0.0007816984554575876,5,0.17728798631179152
0,dist_to_water_m,0.0002987724212369647,0.0007211780287867129,6,0.17728798631179152
1,impervious_pct,0.03458270313654034,0.0016458247168066953,1,0.15975424621867318
1,ndvi_median_may_aug,0.0319609486487984,0.001500102292276481,2,0.15975424621867318
1,land_cover_class,0.006840642990173659,0.0007201788269580358,3,0.15975424621867318
1,climate_group,0.0030297183420087332,0.0032042015146563027,4,0.15975424621867318
1,dist_to_water_m,-0.00438794641608134,0.0003273346872822895,5,0.15975424621867318
1,elevation_m,-0.01516926092531368,0.002823162306907469,6,0.15975424621867318
2,ndvi_median_may_aug,0.011476148205222778,0.0013666850329085432,1,0.1300967725221705
2,impervious_pct,0.008301404593130082,0.0012835545616198584,2,0.1300967725221705
2,climate_group,0.007450315917682049,0.001148959338892268,3,0.1300967725221705
2,land_cover_class,0.004498461650070604,0.0010361367351173361,4,0.1300967725221705
2,elevation_m,0.0007612017776438245,0.001553997732939177,5,0.1300967725221705
2,dist_to_water_m,-0.009672727489807747,0.0009291908480980182,6,0.1300967725221705
3,climate_group,0.04214904087189564,0.0008330659573741978,1,0.16062660057555517
3,ndvi_median_may_aug,0.037464496812712945,0.0020013764814808288,2,0.16062660057555517
3,impervious_pct,0.036058039906103644,0.0037579381484885146,3,0.16062660057555517
3,elevation_m,0.0286521734720341,0.0014712636758271132,4,0.16062660057555517
3,land_cover_class,0.006866372016637756,0.001035924312770212,5,0.16062660057555517
3,dist_to_water_m,0.001515071368881421,0.0009925898462442959,6,0.16062660057555517
4,ndvi_median_may_aug,0.04745244398421388,0.000897856733740156,1,0.14932991403664614
4,impervious_pct,0.026365589840892635,0.0010474930483357174,2,0.14932991403664614
4,climate_group,0.02307073003107661,0.0014340691743473684,3,0.14932991403664614
4,dist_to_water_m,0.0019071652552585445,0.0012272212103060537,4,0.14932991403664614
4,land_cover_class,-0.0004708717458099587,0.0008334564491880236,5,0.14932991403664614
4,elevation_m,-0.007615331185858401,0.0021138319084450003,6,0.14932991403664614
